voltage_V,current_A,temperature_C,soc_percent,soh_percent,internal_resistance_mOhm,charge_cycles,ambient_temp_C,fault
2.828,1.964,31.19,41.86,88.0,50.07,500,27.57,1
3.574,1.852,51.68,20.39,78.95,69.45,625,32.8,1
3.713,1.97,30.41,66.73,91.06,33.46,622,27.62,0
3.315,1.842,32.91,15.58,86.13,94.03,934,30.01,1
3.52,2.271,49.85,50.55,78.54,59.21,462,30.53,1
3.651,1.999,28.72,60.83,99.49,33.57,421,31.74,0
3.702,2.165,27.7,63.93,98.04,45.99,88,23.67,0
3.649,2.922,33.43,64.52,99.88,51.28,645,28.78,0
3.684,2.48,28.23,66.15,73.4,77.77,1202,28.68,1
3.511,3.537,32.18,46.1,75.99,98.7,831,31.67,1
2.827,2.12,22.27,12.07,94.22,56.08,368,25.07,1
2.882,2.59,29.27,44.6,84.89,40.54,405,29.58,1
2.96,2.533,36.9,30.36,91.89,55.89,811,33.76,1
3.7,2.127,28.5,57.7,99.62,43.48,377,26.98,0
3.613,1.457,29.85,68.94,92.26,43.54,259,29.04,0
3.087,1.517,31.67,34.02,92.52,46.07,523,37.62,1
3.931,1.398,27.35,50.4,90.77,42.08,589,29.35,0
3.658,2.22,26.99,99.47,94.25,38.5,179,26.08,0
3.683,2.671,31.9,87.94,90.69,30.67,96,29.85,0
3.498,1.587,41.58,58.0,87.21,103.97,1306,35.9,1
3.546,1.97,30.19,95.4,98.37,37.39,229,22.38,0
3.65,2.253,54.17,66.27,76.43,54.83,772,34.77,1
3.798,2.076,32.41,91.1,97.84,46.02,514,28.43,0
3.503,2.572,40.25,24.97,75.99,81.79,869,32.27,1
3.763,2.897,33.55,94.23,91.08,48.24,543,27.7,0
3.603,1.47,27.08,29.62,82.22,115.47,1366,27.88,1
4.004,1.944,23.77,61.7,98.85,37.36,785,32.5,0
3.62,1.895,48.92,37.97,85.21,50.37,757,34.42,1
3.767,1.948,58.86,64.33,77.07,59.14,481,34.57,1
3.721,2.006,28.42,69.18,93.9,34.9,732,23.75,0
3.516,1.792,27.92,95.3,90.1,37.15,761,25.98,0
3.461,1.917,31.44,46.77,82.02,75.08,927,28.36,1
3.584,2.196,31.2,89.06,90.4,42.78,516,26.48,0
3.353,3.129,39.99,24.54,76.07,115.57,1188,29.68,1
3.536,1.321,33.86,41.24,80.36,89.2,1476,28.21,1
3.59,1.895,29.05,44.95,96.18,46.28,58,25.63,0
3.695,2.558,62.25,53.72,86.5,52.32,1184,36.83,1
3.765,1.542,31.23,85.68,90.75,36.27,371,31.4,0
2.803,3.078,37.74,10.23,84.16,53.85,1005,34.37,1
3.833,2.725,25.25,93.8,95.43,43.3,107,27.8,0
3.709,2.125,27.87,61.74,97.48,42.63,458,26.59,0
2.984,2.754,34.76,12.32,89.45,47.72,893,27.44,1
3.615,2.019,28.0,41.27,92.89,43.69,511,28.41,0
3.602,2.356,59.29,35.19,75.16,52.82,805,39.04,1
3.599,2.943,63.39,31.94,86.25,43.76,631,34.58,1
3.565,2.865,49.24,22.59,81.39,56.82,812,28.34,1
3.677,2.291,41.92,56.29,76.71,101.7,1321,31.39,1
2.863,2.456,29.11,37.3,93.47,48.51,1074,32.58,1
3.681,1.404,24.36,60.64,92.88,47.17,673,29.85,0
3.538,2.621,36.12,69.97,87.37,117.82,862,30.29,1
3.55,2.116,31.86,64.61,92.73,51.52,89,31.76,0
3.527,2.559,31.23,24.83,73.35,110.64,1247,30.83,1
3.886,2.427,32.35,69.51,96.03,41.68,60,29.53,0
3.141,2.629,24.35,60.25,80.41,99.87,913,35.91,1
3.637,1.824,32.75,48.5,96.25,37.9,66,24.29,0
3.556,2.157,28.31,90.72,98.61,39.21,312,25.54,0
3.729,1.827,30.89,50.28,97.18,40.41,439,33.41,0
3.576,1.79,28.46,72.31,92.38,36.79,507,30.71,0
3.584,2.01,63.71,27.86,82.09,41.96,1079,37.46,1
3.495,2.317,29.86,26.11,87.24,103.19,552,34.75,1
3.685,2.366,29.65,87.88,99.15,39.93,102,29.75,0
3.048,1.756,33.28,23.1,91.86,50.25,354,27.61,1
3.758,2.215,32.55,85.91,90.63,38.17,172,25.48,0
3.8,2.61,32.27,73.52,98.87,44.24,235,31.35,0
3.58,2.402,32.55,50.2,95.69,45.53,128,22.56,0
3.735,1.374,29.81,83.47,91.81,36.24,303,22.33,0
3.811,1.92,32.39,74.34,94.2,48.3,120,27.34,0
3.546,1.601,31.5,46.97,96.84,35.39,475,29.06,0
3.719,2.773,46.54,47.58,75.58,52.56,575,27.78,1
2.85,2.653,34.37,16.34,82.69,51.98,498,32.77,1
2.872,3.271,33.99,30.0,85.01,47.03,537,29.69,1
2.98,3.164,33.63,54.87,91.36,53.53,740,20.42,1
3.768,1.037,32.18,83.81,98.02,31.31,564,24.71,0
2.985,1.931,32.31,44.4,87.27,44.46,421,22.4,1
3.399,1.696,41.62,62.27,71.54,110.9,748,27.36,1
3.577,2.496,35.38,49.54,84.55,79.3,716,28.29,1
2.838,2.721,35.09,42.93,85.96,48.07,784,25.46,1
3.675,1.379,36.23,44.06,98.1,35.55,600,27.34,0
3.001,2.416,32.55,46.53,88.55,57.0,488,30.17,1
3.66,2.273,57.78,50.51,78.89,55.94,609,39.64,1
3.046,2.561,36.42,58.79,92.36,36.31,737,27.5,1
2.903,2.228,33.23,20.89,87.79,46.8,521,32.8,1
3.608,2.096,30.24,16.15,75.81,109.25,1143,27.99,1
3.8,1.507,35.23,60.38,94.47,43.67,170,27.54,0
3.823,1.783,25.44,53.57,90.01,42.3,541,30.1,0
2.984,2.646,30.36,33.63,83.75,45.31,335,23.65,1
3.554,2.591,29.9,70.7,91.66,33.86,283,31.1,0
3.706,2.028,33.73,84.84,91.5,40.22,711,25.81,0
3.448,2.34,32.77,47.22,79.97,78.45,766,26.15,1
3.373,2.513,25.56,42.17,84.13,110.0,1237,29.84,1
3.58,2.675,33.36,30.97,82.11,119.28,686,26.92,1
3.454,1.508,31.2,36.55,82.95,76.0,1322,33.88,1
3.647,2.011,30.25,47.28,90.13,46.18,248,27.11,0
3.294,3.139,36.57,68.45,84.46,98.73,1340,29.95,1
2.982,2.411,35.38,45.9,80.08,42.49,379,29.19,1
3.72,1.213,32.94,62.82,95.34,37.76,783,34.44,0
3.424,1.877,31.83,46.67,71.51,99.66,737,31.69,1
3.813,2.424,28.69,83.51,93.35,39.99,264,27.6,0
3.59,1.974,36.27,46.38,87.2,95.43,772,29.37,1
3.641,1.802,36.77,64.43,90.99,40.31,671,31.79,0
3.409,1.928,31.04,63.97,81.19,73.41,1318,29.32,1
3.581,1.787,36.88,61.8,89.2,80.09,1289,36.81,1
3.662,1.138,31.16,65.6,99.2,37.81,706,28.93,0
2.917,2.081,35.65,29.51,88.6,41.56,644,29.96,1
3.732,2.176,64.05,65.07,76.76,53.14,637,28.13,1
3.012,2.954,29.4,49.88,87.59,38.86,383,30.78,1
3.459,2.457,47.65,48.01,84.25,59.81,425,28.94,1
3.529,2.424,54.22,57.04,80.47,58.9,906,30.6,1
3.677,1.631,29.43,41.74,96.43,42.62,154,34.8,0
3.424,2.609,41.21,67.81,75.62,76.82,940,25.09,1
2.801,2.378,27.52,57.97,81.29,57.76,864,30.69,1
3.661,1.968,29.62,92.97,98.43,39.51,665,32.39,0
3.477,1.963,38.84,53.75,74.69,80.79,1360,38.45,1
2.82,1.251,31.89,51.6,90.26,40.61,1115,27.99,1
3.371,2.189,39.46,23.91,88.16,87.82,1329,32.0,1
3.752,2.904,27.66,58.96,91.88,31.45,392,25.56,0
3.714,1.118,27.17,73.18,91.79,41.82,317,18.97,0
3.779,2.126,25.75,56.3,98.07,29.39,432,30.48,0
3.442,2.669,36.0,68.91,73.47,100.52,1496,23.94,1
3.662,2.595,34.86,61.31,95.12,42.97,680,31.49,0
3.859,2.795,25.07,59.56,91.96,49.68,498,29.62,0
2.893,1.936,36.42,31.3,81.59,57.28,870,28.32,1
3.846,1.645,32.86,99.15,93.98,41.6,176,27.95,0
3.688,2.188,27.36,42.78,95.29,41.11,244,24.51,0
3.892,1.686,27.74,98.12,98.35,45.94,732,29.71,0
2.926,2.989,28.34,32.75,83.52,43.14,967,25.31,1
3.877,1.878,30.37,71.97,97.26,38.68,277,29.78,0
3.592,1.337,29.95,61.38,92.9,37.92,438,28.22,0
3.712,2.419,56.49,53.46,79.78,52.99,960,38.82,1
3.807,1.926,34.8,45.71,98.01,41.01,117,27.68,0
3.52,2.03,33.1,19.47,71.99,95.0,634,36.37,1
3.673,1.87,27.85,70.56,93.16,42.0,98,25.32,0
3.013,1.429,32.88,19.31,84.68,45.31,397,28.74,1
3.648,2.863,51.61,29.58,88.33,49.96,410,35.82,1
3.487,1.728,34.55,25.47,84.77,119.54,779,29.82,1
3.586,3.133,29.57,76.46,92.35,51.33,461,28.06,0
3.775,1.957,28.68,67.34,95.59,35.01,796,33.84,0
3.08,2.576,30.11,33.95,93.41,43.13,707,26.9,1
3.76,0.92,28.17,87.14,99.32,41.72,323,30.07,0
3.473,1.561,48.3,74.91,78.64,55.93,438,28.2,1
3.43,2.51,44.78,47.89,78.6,116.91,1129,32.06,1
3.457,1.481,23.5,33.04,73.02,102.1,801,34.75,1
3.645,1.709,28.78,61.22,91.72,50.94,261,28.08,0
3.771,1.996,28.43,92.61,96.52,43.32,582,26.56,0
3.758,1.196,29.76,53.47,94.65,38.57,94,20.81,0
3.821,2.099,27.01,54.08,92.08,34.62,140,27.42,0
3.697,1.768,28.79,71.48,96.66,46.87,742,32.68,0
3.759,2.443,30.26,85.22,94.26,42.53,763,28.73,0
3.694,2.42,57.92,78.03,76.87,65.55,528,36.06,1
3.63,2.04,31.88,41.22,87.22,106.6,1027,34.97,1
3.748,1.76,30.6,60.07,93.39,45.24,795,33.5,0
3.642,1.324,25.92,65.72,78.68,105.71,777,30.36,1
3.691,2.164,25.96,92.41,94.91,42.71,640,26.54,0
3.58,1.99,35.9,75.52,90.16,45.25,545,23.56,0
3.005,3.16,35.46,11.06,83.34,45.62,464,31.69,1
3.744,2.203,30.76,63.66,90.99,35.58,366,24.72,0
3.452,1.835,28.84,62.45,70.45,111.32,752,28.75,1
3.32,1.578,38.45,68.49,83.69,88.59,668,28.78,1
3.537,1.36,64.16,39.76,85.56,61.26,681,32.35,1
3.819,2.491,28.27,65.66,95.76,40.94,697,24.82,0
2.833,2.617,29.41,37.31,80.8,37.0,809,31.65,1
3.751,1.433,37.93,95.03,92.3,40.12,517,24.35,0
3.593,2.181,63.56,65.55,89.39,55.11,659,37.92,1
3.467,2.542,61.21,25.29,75.76,49.62,627,30.88,1
3.533,2.772,49.94,55.57,89.07,54.7,449,24.8,1
3.842,2.077,33.6,52.89,91.76,41.35,695,30.4,0
3.505,1.722,30.73,48.61,95.91,41.4,571,26.63,0
3.683,1.25,31.78,86.25,94.32,40.17,257,27.88,0
3.545,2.286,33.22,92.88,92.52,45.8,542,24.63,0
3.489,2.645,29.68,32.6,73.57,88.17,1068,26.72,1
3.765,1.856,32.02,40.11,94.21,45.6,515,26.17,0
2.94,3.433,38.52,38.9,83.48,56.46,677,34.48,1
3.777,1.307,32.91,62.45,95.57,44.07,791,26.35,0
2.969,1.28,33.06,44.59,92.64,59.89,852,32.01,1
3.734,2.89,30.46,91.07,91.8,40.24,544,30.1,0
3.499,2.856,41.04,38.0,86.34,107.18,1137,22.92,1
3.04,2.227,37.09,34.0,93.07,61.32,807,28.64,1
3.782,2.101,30.56,95.27,96.22,41.64,557,24.91,0
3.579,1.937,37.79,51.01,76.06,106.57,1172,32.81,1
3.625,1.901,51.97,69.0,75.78,60.3,803,25.32,1
3.72,2.653,32.23,42.04,92.76,32.41,734,29.98,0
2.986,3.297,29.76,39.06,87.83,43.7,525,32.62,1
3.779,1.247,31.11,51.45,91.79,46.0,423,26.28,0
3.691,1.692,33.84,64.87,91.66,45.37,635,25.78,0
3.543,2.104,56.26,31.9,84.19,56.46,969,37.24,1
3.809,2.293,30.34,78.39,91.72,40.45,552,23.4,0
3.771,1.375,25.61,54.38,95.64,38.58,638,22.08,0
2.945,3.048,28.39,34.75,93.87,54.13,877,23.46,1
3.425,0.423,32.42,49.49,75.23,73.42,589,32.17,1
2.906,3.324,30.41,49.98,83.09,57.43,780,28.68,1
2.948,2.393,41.32,47.47,94.45,51.25,1111,31.47,1
3.567,1.963,31.18,45.11,94.38,46.64,534,30.82,0
3.546,2.29,33.05,81.31,95.63,34.79,259,29.76,0
3.796,2.034,28.29,64.19,93.08,44.15,518,26.5,0
3.743,2.093,57.54,67.57,76.18,59.16,937,39.34,1
3.53,1.718,25.18,52.64,70.13,90.89,962,25.55,1
3.021,3.316,35.03,46.79,94.63,44.4,918,34.61,1
3.609,2.677,31.36,69.84,93.1,35.36,641,26.02,0
3.708,2.43,29.07,75.13,95.94,40.91,543,27.33,0
2.94,1.728,32.67,38.72,94.59,53.33,500,23.64,1
3.42,1.754,49.46,47.44,83.01,42.83,948,34.53,1
3.689,1.14,50.73,49.5,80.31,41.65,688,28.85,1
3.867,1.532,28.8,94.93,95.95,38.35,485,29.97,0
3.677,2.034,28.59,89.66,93.54,43.04,745,27.97,0
3.755,2.214,29.67,88.29,99.84,35.37,348,26.07,0
3.063,3.295,29.5,54.48,85.63,49.4,409,26.28,1
2.975,1.907,26.23,30.7,90.67,49.07,988,26.95,1
3.536,3.251,31.68,47.55,76.17,82.29,1030,28.52,1
3.732,2.987,26.43,63.18,99.21,45.15,755,28.44,0
3.644,1.537,23.89,45.65,90.22,48.87,298,28.9,0
3.544,3.36,60.03,75.68,83.33,56.98,929,38.97,1
3.417,2.764,44.75,60.01,78.6,75.29,781,40.63,1
3.1,2.75,27.35,52.13,80.45,53.23,1116,27.45,1
3.683,2.837,62.91,57.05,76.3,60.21,1133,25.93,1
3.594,2.219,33.58,65.08,97.24,44.41,270,27.71,0
3.619,2.797,30.0,76.67,94.14,38.52,147,26.13,0
3.534,2.424,54.87,56.57,75.87,53.54,868,30.34,1
3.629,1.392,33.4,99.06,94.2,45.76,401,23.64,0
3.744,2.626,29.38,91.98,90.18,40.09,735,21.32,0
3.486,2.269,33.88,41.97,82.93,91.04,799,29.08,1
3.689,2.559,39.57,35.75,81.25,117.91,1309,29.61,1
3.75,2.113,28.32,67.08,93.32,34.97,88,23.76,0
3.503,2.126,34.03,62.13,75.91,78.12,1226,37.31,1
3.614,2.376,29.66,96.97,90.71,41.26,502,27.3,0
3.661,2.322,35.69,46.68,95.94,42.1,660,25.76,0
2.813,1.346,39.55,16.03,94.34,55.04,876,20.63,1
2.811,1.789,33.67,44.53,88.58,53.06,660,42.56,1
3.649,2.001,33.11,90.83,98.25,36.87,653,24.61,0
3.401,1.951,40.36,38.42,86.7,76.46,817,32.26,1
3.751,2.372,28.95,46.08,93.49,37.07,262,26.54,0
3.593,1.796,55.04,78.49,80.6,68.09,613,32.44,1
3.025,4.221,27.92,27.34,84.91,41.99,583,27.75,1
3.089,1.542,30.45,15.26,92.91,48.95,564,28.62,1
3.462,2.062,25.73,34.61,88.09,73.21,1176,27.29,1
3.474,1.841,34.08,80.11,96.26,32.0,761,29.38,0
3.768,2.393,28.88,45.51,99.08,38.92,468,30.44,0
3.745,1.726,30.41,49.0,99.45,50.32,199,27.56,0
3.281,1.905,29.63,22.68,83.1,101.45,603,35.37,1
3.705,1.001,29.1,47.45,94.67,44.07,555,31.91,0
3.677,2.498,29.91,41.04,99.5,46.84,598,28.55,0
3.592,2.973,44.58,46.64,84.61,114.91,945,31.86,1
2.93,2.333,32.7,46.75,87.53,52.62,733,29.46,1
3.517,1.901,34.65,98.57,99.23,41.73,616,25.88,0
3.656,1.734,58.7,71.74,83.57,56.35,801,29.29,1
3.54,2.366,26.65,53.02,96.5,33.48,230,29.85,0
3.549,1.843,48.38,33.87,78.76,57.87,465,38.98,1
3.501,1.894,30.39,45.94,75.09,114.03,1357,35.32,1
3.604,2.504,30.3,48.34,95.03,41.72,388,22.44,0
2.993,2.032,38.28,28.3,83.15,50.03,1056,21.46,1
3.727,2.036,52.44,79.86,87.84,53.59,628,33.35,1
2.882,1.278,35.29,42.3,80.64,45.15,332,27.43,1
3.765,1.641,29.36,41.32,90.99,55.03,559,30.64,0
3.812,1.934,24.61,82.76,95.42,37.15,394,27.1,0
3.586,2.325,28.88,53.38,96.74,41.21,481,30.08,0
3.43,2.03,31.65,83.0,91.56,41.08,64,27.36,0
3.672,1.327,62.84,33.9,75.78,48.26,1136,36.78,1
3.738,2.228,30.36,58.11,98.49,49.41,618,28.87,0
3.55,2.389,34.47,43.23,96.97,33.86,269,25.94,0
3.642,1.595,31.75,45.74,93.95,50.77,481,25.33,0
3.635,2.706,25.66,58.76,93.3,41.52,400,29.34,0
3.553,2.831,27.62,64.42,96.16,41.25,371,26.66,0
3.556,3.148,37.05,60.33,85.72,85.14,740,26.79,1
3.548,1.875,64.3,62.61,79.3,62.41,910,31.49,1
3.581,1.494,59.94,72.67,75.45,45.69,741,29.4,1
3.415,2.107,31.67,68.46,96.92,42.28,485,29.62,0
2.949,2.765,32.72,27.28,90.6,54.91,731,23.65,1
3.819,2.552,30.1,83.99,96.07,36.1,459,22.73,0
3.631,2.301,39.09,52.9,75.56,96.56,1115,26.4,1
3.559,1.927,56.08,64.92,85.33,72.99,675,37.09,1
3.644,2.345,29.85,89.38,91.72,29.92,136,27.69,0
3.528,1.946,29.49,45.93,76.21,70.1,1163,31.93,1
3.526,1.72,52.89,45.8,76.05,47.9,712,30.38,1
3.663,2.022,32.09,87.21,95.63,42.29,782,29.4,0
3.513,2.395,60.63,46.22,84.67,58.7,412,23.69,1
3.612,2.858,27.91,70.78,95.11,40.55,491,30.71,0
3.429,2.183,32.28,17.68,79.84,113.21,814,30.65,1
3.489,2.022,45.93,38.34,86.75,51.87,893,36.51,1
3.415,2.451,50.82,26.13,80.37,47.96,754,34.09,1
3.664,2.417,31.58,94.14,93.6,40.54,174,29.67,0
3.763,2.714,32.25,32.62,80.8,106.28,728,25.59,1
3.034,1.955,28.52,59.15,85.61,54.42,489,26.39,1
2.849,3.271,34.62,26.71,83.73,53.35,413,32.98,1
3.549,2.648,63.78,23.86,87.06,43.92,1190,33.02,1
3.793,1.26,27.92,69.89,98.56,39.49,68,28.73,0
3.382,2.52,38.71,47.78,85.5,115.32,1274,31.76,1
3.243,2.602,38.14,25.66,86.41,113.39,753,32.2,1
3.454,2.259,30.48,31.51,83.26,74.65,623,32.04,1
3.516,2.307,30.51,96.38,93.96,37.6,638,24.54,0
3.606,1.457,57.24,45.81,83.51,61.68,801,33.2,1
3.752,1.193,32.42,92.8,93.32,37.43,282,26.47,0
3.581,2.258,59.73,37.41,86.55,52.8,554,37.74,1
3.714,0.985,22.91,70.58,92.1,31.37,773,20.65,0
3.646,1.129,32.76,67.2,95.58,37.14,316,26.55,0
2.88,1.937,35.89,15.26,86.53,53.4,609,22.09,1
3.749,2.015,28.13,92.48,99.35,32.12,518,23.35,0
3.561,2.82,59.79,40.07,77.53,40.54,1180,38.12,1
3.767,1.809,26.12,66.06,96.17,42.15,384,24.7,0
3.834,2.093,32.03,52.93,91.23,31.79,473,26.4,0
3.572,2.38,38.16,25.98,82.55,81.97,1425,27.12,1
3.53,2.249,39.37,64.92,87.19,79.42,597,29.26,1
2.939,2.567,32.78,45.56,94.42,44.88,736,33.02,1
3.7,3.196,30.73,70.9,95.1,42.95,613,30.34,0
3.741,2.368,30.26,51.74,95.82,43.27,647,27.62,0
3.6,1.494,58.62,70.7,75.11,58.46,1076,31.42,1
3.535,1.142,37.83,35.45,83.68,117.06,525,37.66,1
3.424,2.468,33.8,49.7,89.86,74.93,746,38.22,1
3.776,1.192,22.16,97.84,99.62,40.19,320,34.5,0
3.578,1.912,24.99,90.41,95.3,35.6,647,27.51,0
3.499,1.755,47.12,62.63,80.75,58.01,738,41.38,1
3.684,2.088,24.9,50.63,99.65,35.91,225,31.51,0
3.735,1.942,25.8,88.41,95.95,46.69,659,33.8,0
3.677,2.176,28.7,40.89,98.67,25.21,450,32.81,0
3.605,1.81,64.56,49.41,83.58,50.87,1008,31.58,1
3.023,2.361,33.82,28.52,82.43,47.7,702,24.63,1
3.448,2.753,62.1,23.11,80.14,49.37,857,31.36,1
3.682,2.261,31.62,41.23,99.83,35.76,665,31.72,0
3.782,2.436,30.6,98.71,90.71,40.88,640,24.24,0
3.465,2.539,27.62,65.79,83.04,70.27,875,30.8,1
3.411,1.474,59.42,31.64,80.24,40.04,827,30.22,1
3.655,2.657,28.06,42.8,95.09,40.97,346,26.58,0
3.889,2.203,24.77,80.4,99.81,36.59,530,28.19,0
2.825,2.232,28.83,58.71,89.16,48.52,1182,25.64,1
3.028,1.599,38.15,39.83,81.12,43.29,887,24.21,1
3.598,0.994,25.4,83.42,94.52,47.2,76,25.57,0
3.053,1.991,34.39,44.74,80.97,46.01,997,29.38,1
3.58,2.564,31.4,88.82,99.85,32.7,772,29.59,0
3.673,2.557,34.72,67.98,92.64,46.37,148,29.03,0
3.693,2.712,25.99,87.77,99.46,47.27,62,32.98,0
3.529,1.701,55.31,42.69,76.0,62.52,1057,34.09,1
3.058,2.622,33.92,52.19,88.51,41.0,528,36.48,1
2.985,1.914,31.59,35.72,82.55,57.23,1174,21.26,1
3.647,1.243,31.42,95.42,94.81,35.09,399,35.82,0
3.688,2.863,54.45,38.68,76.28,58.41,643,34.4,1
2.834,2.06,32.5,46.82,90.81,47.53,1177,23.77,1
3.693,2.2,46.09,32.66,84.1,60.27,784,29.8,1
2.854,2.874,30.94,11.86,88.89,50.12,812,29.57,1
3.705,2.842,39.03,33.14,79.34,97.44,628,31.11,1
3.538,3.195,45.39,44.35,88.36,60.86,589,37.63,1
3.099,2.111,29.57,48.93,92.05,53.24,1049,29.54,1
3.696,2.444,48.05,47.57,78.7,57.56,1104,30.79,1
3.611,2.528,32.68,44.36,98.23,29.81,643,28.13,0
3.848,2.795,29.37,44.87,96.51,45.09,165,24.59,0
3.519,1.834,37.12,56.26,74.52,85.33,952,27.08,1
3.864,1.685,30.81,98.03,94.15,49.13,288,26.49,0
3.721,1.83,26.42,66.75,98.87,39.6,496,29.02,0
2.883,3.36,23.65,36.48,91.45,47.08,964,31.86,1
2.942,2.702,29.19,47.4,85.55,46.15,702,28.95,1
3.084,2.466,27.29,58.87,91.73,45.3,989,25.97,1
3.535,1.825,60.8,20.46,89.01,48.9,628,29.12,1
3.685,1.135,29.73,98.67,98.11,39.28,108,28.45,0
3.061,1.889,30.67,46.94,83.94,42.55,756,31.37,1
3.793,1.929,26.69,45.79,97.33,42.97,785,25.17,0
2.94,2.801,32.37,11.72,85.74,53.34,1083,32.83,1
2.8,3.129,30.3,17.34,84.46,49.43,932,29.24,1
3.856,2.346,33.53,91.32,97.59,33.5,687,28.01,0
3.753,2.045,34.2,90.25,99.73,44.05,644,21.26,0
3.503,1.855,47.63,24.19,78.41,58.21,592,31.29,1
3.612,2.819,23.65,61.01,90.76,36.78,130,30.28,0
3.793,1.472,27.53,57.72,92.16,40.26,694,26.1,0
2.942,2.219,29.15,30.29,87.89,50.33,667,25.93,1
3.698,2.029,33.47,56.55,99.47,36.69,418,32.65,0
3.565,1.332,29.48,59.21,99.8,43.15,637,28.05,0
3.427,1.137,26.11,38.0,74.96,95.49,592,35.5,1
3.606,1.655,64.35,54.19,75.27,55.19,1025,32.51,1
3.714,2.454,33.14,53.09,94.3,41.54,438,28.27,0
3.692,2.052,29.13,40.99,76.84,92.73,565,33.17,1
3.738,1.791,34.11,64.96,93.03,49.71,229,24.65,0
3.617,1.384,32.98,90.99,92.19,35.25,770,28.53,0
3.751,1.787,28.83,66.36,98.92,33.65,252,24.73,0
3.703,1.515,30.38,89.01,91.03,34.7,463,23.5,0
3.655,1.806,27.97,59.86,91.21,45.04,298,32.33,0
3.65,1.468,29.96,77.65,97.8,48.5,408,26.41,0
3.397,2.93,63.91,36.62,87.4,48.94,983,30.95,1
3.73,1.647,31.32,59.81,90.25,37.65,798,25.65,0
3.773,1.704,26.44,60.94,92.31,38.12,384,28.69,0
3.745,0.725,31.95,78.49,94.91,39.28,754,29.8,0
2.817,2.519,35.92,35.15,86.69,42.92,704,26.78,1
3.69,2.823,27.78,90.88,94.56,43.04,107,24.74,0
3.681,1.398,31.04,70.61,91.61,41.34,168,30.01,0
3.078,2.737,34.17,29.38,88.03,57.46,715,25.41,1
3.551,2.59,34.06,45.67,82.78,97.92,565,34.23,1
2.917,2.748,32.72,56.53,92.97,46.23,708,29.83,1
3.022,1.772,30.75,30.89,91.83,48.34,651,36.85,1
3.71,2.888,31.84,55.62,97.29,36.98,776,25.49,0
3.823,2.032,47.9,72.93,88.84,58.66,682,27.83,1
3.631,1.54,25.22,76.37,90.82,34.99,714,19.67,0
3.443,1.555,35.47,51.68,74.54,87.83,1218,30.24,1
3.437,2.233,52.48,42.84,77.6,46.4,692,32.43,1
3.343,2.519,46.93,52.02,87.73,44.79,970,28.87,1
3.821,2.084,31.48,59.79,90.05,39.02,693,22.54,0
3.767,2.087,27.14,51.83,99.09,33.22,250,27.28,0
3.599,2.58,46.78,75.25,77.59,44.68,832,26.24,1
3.445,2.7,40.77,32.11,85.69,83.38,525,37.12,1
3.683,2.462,31.39,71.91,96.05,40.4,69,27.33,0
3.065,2.517,42.61,20.86,83.93,42.46,534,30.9,1
3.746,2.014,32.78,66.44,90.03,44.85,144,24.84,0
3.634,1.847,56.09,71.1,79.19,63.25,985,39.64,1
3.058,2.763,28.37,14.14,83.15,58.23,988,24.77,1
3.632,1.572,34.3,92.95,96.73,44.95,338,26.87,0
3.621,2.825,58.07,47.35,84.13,49.3,748,36.47,1
2.858,2.652,38.57,17.72,84.94,47.12,488,19.33,1
3.381,3.199,48.5,59.46,75.57,45.34,501,27.48,1
3.701,1.969,25.59,84.26,92.51,37.02,452,27.0,0
3.021,2.311,34.58,42.58,88.33,56.24,436,30.11,1
2.917,2.093,33.36,32.16,87.34,49.98,826,26.22,1
3.719,1.935,33.97,52.37,99.54,32.95,582,27.63,0
3.918,2.185,27.17,96.09,99.26,36.11,324,26.86,0
3.564,2.179,32.66,48.2,75.17,114.3,1138,23.86,1
3.802,2.519,30.03,92.29,92.02,42.89,725,27.4,0
3.714,2.213,27.81,73.85,96.32,42.04,63,27.55,0
3.765,1.557,29.37,61.82,99.0,45.15,221,29.91,0
3.718,1.328,33.2,91.18,98.69,49.15,216,23.36,0
3.573,2.37,31.66,60.14,94.06,34.83,150,28.7,0
3.667,1.478,31.34,83.8,91.79,40.71,710,28.52,0
3.588,2.474,52.02,29.37,83.01,61.81,1029,28.4,1
3.773,2.224,29.97,80.99,93.07,33.35,457,30.69,0
3.709,1.68,30.05,96.8,99.74,38.46,215,29.64,0
3.05,2.114,23.83,37.13,87.73,43.38,332,28.25,1
3.742,2.151,29.23,57.2,97.07,35.98,293,27.68,0
3.565,2.247,63.39,40.26,82.2,50.11,512,22.13,1
3.612,2.25,26.67,62.94,97.18,40.01,55,28.24,0
3.733,1.706,33.67,71.8,97.04,45.28,285,30.97,0
3.815,1.65,35.49,56.64,92.13,44.73,379,30.54,0
3.022,3.001,34.72,28.19,83.84,50.78,780,25.66,1
2.864,3.629,38.7,20.07,82.34,49.74,464,26.5,1
3.72,1.433,28.66,67.99,97.84,44.03,429,28.39,0
3.642,2.489,30.17,63.55,83.45,103.78,585,28.73,1
3.687,2.544,31.4,91.58,94.95,34.47,105,26.84,0
3.595,2.917,53.68,54.86,78.15,61.68,745,34.96,1
3.615,1.178,32.82,47.21,98.44,47.26,141,27.22,0
3.819,2.777,28.83,55.69,90.08,33.22,331,30.55,0
3.752,2.009,26.85,86.64,90.28,45.98,194,24.52,0
3.663,1.763,34.51,44.63,90.9,37.63,458,23.62,0
